ATXN3	NM_004993
ATXN3L	NM_001135995
ATXN7	NM_000333
ATXN7L2	NM_153340
ATXN7L3	NM_020218
ATXN7L3B	NM_001136262
AUNIP	NM_024037
AUP1	NM_181575
AURKA	NM_003600
AURKAIP1	NM_017900
AURKB	NM_004217
AURKC	NM_003160
AVEN	NM_020371
AVIL	NM_006576
AVL9	NM_015060
AVP	NM_000490
AVPI1	NM_021732
AVPR1B	NM_000707
AWAT1	NM_001013579
AWAT2	NM_001002254
AXDND1	NM_144696
AXIN1	NM_003502
AXIN2	NM_004655
AXL	NM_021913
AZGP1	NM_001185
AZU1	NM_001700
B2M	NM_004048
B3GALNT1	NM_033167
B3GALNT2	NM_152490
B3GALT1	NM_020981
B3GALT2	NM_003783
B3GALT5	NM_033170
B3GALT6	NM_080605
B3GALTL	NM_194318
B3GAT1	NM_018644
B3GAT2	NM_080742
B3GAT3	NM_012200
B3GNT2	NM_006577
B3GNT3	NM_014256
B3GNT4	NM_030765
B3GNT5	NM_032047
B3GNT6	NM_138706
B3GNT7	NM_145236
B3GNT8	NM_198540
B3GNT9	NM_033309
B3GNTL1	NM_001009905
B4GALNT1	NM_001478
B4GALNT2	NM_153446
B4GALNT3	NM_173593
B4GALNT4	NM_178537
B4GALT1	NM_001497
B4GALT2	NM_003780
B4GALT3	NM_003779
B4GALT4	NM_003778
B4GALT5	NM_004776
B4GALT6	NM_004775
B4GALT7	NM_007255
B9D1	NM_015681
B9D2	NM_030578
BAAT	NM_001701
BABAM1	NM_014173
BACH1	NM_206866
BACH2	NM_021813
BAD	NM_032989
BAG1	NM_004323
BAG3	NM_004281
BAG4	NM_004874
BAG6	NM_080703
BAGE	NM_001187
BAGE3	NM_182481
BAGE4	NM_181704
BAGE5	NM_182484
BAHD1	NM_014952
BAIAP2L1	NM_018842
BAIAP2L2	NM_025045
BAK1	NM_001188
BAMBI	NM_012342
BANF1	NM_003860
BANF2	NM_178477
BANK1	NM_017935
BANP	NM_017869
BAP1	NM_004656
BARD1	NM_000465
BARX2	NM_003658
BATF	NM_006399
BATF2	NM_138456
BATF3	NM_018664
BAX	NM_138763
BAZ1B	NM_032408
BAZ2A	NM_013449
BBC3	NM_014417
BBOX1	NM_003986
BBS10	NM_024685
BBS12	NM_152618
BBS2	NM_031885
BBS4	NM_033028
BBS5	NM_152384
BBX	NM_020235
BCAM	NM_005581
BCAN	NM_021948
BCAP29	NM_018844
BCAP31	NM_005745
BCAR1	NM_014567
BCAS1	NM_003657
BCAS2	NM_005872
BCAS3	NM_017679
BCAS4	NM_017843
BCAT1	NM_005504
BCDIN3D	NM_181708
